step,vehicle_total_stopped,vehicle_total_waiting_time,vehicle_average_waiting_time,pedestrian_total_stopped,pedestrian_total_waiting_time,pedestrian_average_waiting_time
2615,0,0.0,0,1,0.0,0.0
2620,0,0.0,0,4,0.0,0.0
2625,1,0.0,0.0,5,3.0,0.6
2630,0,0.0,0,2,9.0,4.5
2635,0,0.0,0,1,13.0,13.0
2640,0,0.0,0,3,18.0,6.0
2645,2,3.0,1.5,2,23.0,11.5
2650,0,0.0,0,0,0,0
2655,0,0.0,0,3,0.0,0.0
2660,1,4.0,4.0,0,0,0
2665,1,0.0,0.0,1,0.0,0.0
2670,2,5.0,2.5,2,1.0,0.5
2675,1,5.0,5.0,4,0.0,0.0
2680,1,10.0,10.0,3,5.0,1.6666666666666667
2685,1,0.0,0.0,4,1.0,0.25
2690,1,4.0,4.0,3,0.0,0.0
2695,0,0.0,0,5,1.0,0.2
2700,1,3.0,3.0,2,4.0,2.0
2705,3,10.0,3.3333333333333335,2,0.0,0.0
2710,1,1.0,1.0,1,0.0,0.0
2715,2,9.0,4.5,2,1.0,0.5
2720,2,7.0,3.5,2,0.0,0.0
2725,3,6.0,2.0,4,1.0,0.25
2730,2,7.0,3.5,4,5.0,1.25
2735,2,8.0,4.0,2,0.0,0.0
2740,0,0.0,0,2,0.0,0.0
2745,1,0.0,0.0,2,1.0,0.5
2750,0,0.0,0,2,6.0,3.0
2755,3,7.0,2.3333333333333335,2,11.0,5.5
2760,2,11.0,5.5,2,16.0,8.0
2765,2,2.0,1.0,6,3.0,0.5
2770,0,0.0,0,5,14.0,2.8
2775,0,0.0,0,1,0.0,0.0
2780,0,0.0,0,3,0.0,0.0
2785,1,0.0,0.0,1,0.0,0.0
2790,0,0.0,0,2,1.0,0.5
2795,0,0.0,0,5,9.0,1.8
2800,2,5.0,2.5,8,22.0,2.75
2805,1,0.0,0.0,4,2.0,0.5
2810,2,9.0,4.5,5,7.0,1.4
2815,0,0.0,0,4,1.0,0.25
2820,0,0.0,0,3,7.0,2.3333333333333335
2825,2,1.0,0.5,5,17.0,3.4
2830,0,0.0,0,4,29.0,7.25
2835,0,0.0,0,1,0.0,0.0
2840,0,0.0,0,4,0.0,0.0
2845,1,0.0,0.0,1,5.0,5.0
2850,0,0.0,0,3,0.0,0.0
2855,1,1.0,1.0,3,4.0,1.3333333333333333
2860,0,0.0,0,3,1.0,0.3333333333333333
2865,2,1.0,0.5,3,4.0,1.3333333333333333
2870,0,0.0,0,3,0.0,0.0
2875,1,1.0,1.0,2,0.0,0.0
2880,1,1.0,1.0,0,0,0
2885,1,0.0,0.0,2,0.0,0.0
2890,2,5.0,2.5,1,0.0,0.0
2895,1,1.0,1.0,1,0.0,0.0
2900,1,2.0,2.0,2,0.0,0.0
2905,3,8.0,2.6666666666666665,3,4.0,1.3333333333333333
2910,0,0.0,0,5,7.0,1.4
2915,0,0.0,0,2,5.0,2.5
2920,1,5.0,5.0,5,12.0,2.4
2925,1,0.0,0.0,4,6.0,1.5
2930,1,5.0,5.0,3,6.0,2.0
2935,1,1.0,1.0,3,11.0,3.6666666666666665
2940,2,9.0,4.5,2,16.0,8.0
2945,1,0.0,0.0,1,21.0,21.0
2950,0,0.0,0,1,0.0,0.0
2955,0,0.0,0,3,0.0,0.0
2960,0,0.0,0,2,1.0,0.5
2965,1,0.0,0.0,5,8.0,1.6
2970,1,2.0,2.0,2,1.0,0.5
2975,0,0.0,0,3,6.0,2.0
2980,3,7.0,2.3333333333333335,1,1.0,1.0
2985,1,0.0,0.0,2,0.0,0.0
2990,0,0.0,0,1,1.0,1.0
2995,0,0.0,0,0,0,0
3000,1,2.0,2.0,5,0.0,0.0
3005,1,0.0,0.0,1,1.0,1.0
3010,0,0.0,0,3,6.0,2.0
3015,0,0.0,0,4,17.0,4.25
3020,0,0.0,0,2,17.0,8.5
3025,2,1.0,0.5,6,28.0,4.666666666666667
3030,1,2.0,2.0,1,0.0,0.0
3035,1,7.0,7.0,5,5.0,1.0
3040,0,0.0,0,4,1.0,0.25
3045,2,4.0,2.0,2,6.0,3.0
3050,0,0.0,0,0,0,0
3055,0,0.0,0,2,1.0,0.5
3060,1,4.0,4.0,3,1.0,0.3333333333333333
3065,2,1.0,0.5,4,6.0,1.5
3070,1,6.0,6.0,4,1.0,0.25
3075,1,1.0,1.0,3,10.0,3.3333333333333335
3080,0,0.0,0,6,25.0,4.166666666666667
3085,2,4.0,2.0,3,10.0,3.3333333333333335
3090,0,0.0,0,6,21.0,3.5
3095,2,3.0,1.5,4,19.0,4.75
3100,1,6.0,6.0,1,0.0,0.0
3105,2,4.0,2.0,5,0.0,0.0
3110,2,5.0,2.5,1,0.0,0.0
3115,1,2.0,2.0,3,0.0,0.0
3120,0,0.0,0,2,6.0,3.0
3125,2,4.0,2.0,2,9.0,4.5
3130,2,4.0,2.0,3,14.0,4.666666666666667
3135,3,12.0,4.0,1,0.0,0.0
3140,1,4.0,4.0,1,0.0,0.0
3145,1,0.0,0.0,2,1.0,0.5
3150,1,1.0,1.0,1,2.0,2.0
3155,1,3.0,3.0,1,7.0,7.0
3160,0,0.0,0,0,0,0
3165,3,6.0,2.0,3,0.0,0.0
3170,1,2.0,2.0,0,0,0
3175,2,6.0,3.0,3,0.0,0.0
3180,0,0.0,0,2,1.0,0.5
3185,2,4.0,2.0,6,1.0,0.16666666666666666
3190,1,2.0,2.0,2,5.0,2.5
3195,3,10.0,3.3333333333333335,5,10.0,2.0
3200,0,0.0,0,2,15.0,7.5
3205,1,0.0,0.0,3,20.0,6.666666666666667
3210,1,1.0,1.0,3,25.0,8.333333333333334
3215,1,6.0,6.0,1,0.0,0.0
3220,1,4.0,4.0,2,0.0,0.0
3225,2,9.0,4.5,0,0,0
3230,0,0.0,0,3,0.0,0.0
3235,3,12.0,4.0,1,3.0,3.0
3240,1,7.0,7.0,1,0.0,0.0
3245,0,0.0,0,2,5.0,2.5
3250,1,5.0,5.0,2,10.0,5.0
3255,1,1.0,1.0,3,16.0,5.333333333333333
3260,0,0.0,0,0,0,0
3265,2,5.0,2.5,3,0.0,0.0
3270,0,0.0,0,1,0.0,0.0
3275,2,8.0,4.0,1,2.0,2.0
3280,1,4.0,4.0,2,8.0,4.0
3285,2,9.0,4.5,3,16.0,5.333333333333333
3290,1,1.0,1.0,2,17.0,8.5
3295,2,8.0,4.0,3,0.0,0.0
3300,0,0.0,0,1,0.0,0.0
3305,1,0.0,0.0,0,0,0
3310,1,2.0,2.0,1,0.0,0.0
3315,1,2.0,2.0,0,0,0
3320,0,0.0,0,4,2.0,0.5
3325,1,0.0,0.0,4,12.0,3.0
3330,0,0.0,0,5,17.0,3.4
3335,1,1.0,1.0,3,6.0,2.0
3340,0,0.0,0,7,13.0,1.8571428571428572
3345,2,5.0,2.5,0,0,0
3350,0,0.0,0,3,0.0,0.0
3355,1,2.0,2.0,2,0.0,0.0
3360,0,0.0,0,1,3.0,3.0
3365,1,0.0,0.0,1,0.0,0.0
3370,0,0.0,0,1,0.0,0.0
3375,1,1.0,1.0,2,1.0,0.5
3380,3,12.0,4.0,2,6.0,3.0
3385,1,0.0,0.0,3,11.0,3.6666666666666665
3390,0,0.0,0,2,1.0,0.5
3395,0,0.0,0,1,0.0,0.0
3400,1,3.0,3.0,2,0.0,0.0
3405,1,0.0,0.0,2,4.0,2.0
3410,1,5.0,5.0,0,0,0
3415,0,0.0,0,2,0.0,0.0
3420,0,0.0,0,0,0,0
3425,1,0.0,0.0,1,0.0,0.0
3430,0,0.0,0,2,0.0,0.0
3435,1,1.0,1.0,3,3.0,1.0
3440,0,0.0,0,1,0.0,0.0
3445,1,0.0,0.0,2,3.0,1.5
3450,0,0.0,0,3,1.0,0.3333333333333333
3455,0,0.0,0,4,10.0,2.5
3460,1,4.0,4.0,4,20.0,5.0
3465,1,0.0,0.0,1,0.0,0.0
3470,0,0.0,0,8,0.0,0.0
3475,0,0.0,0,2,1.0,0.5
3480,0,0.0,0,6,8.0,1.3333333333333333
3485,1,0.0,0.0,0,0,0
3490,0,0.0,0,5,0.0,0.0
3495,0,0.0,0,2,0.0,0.0
3500,1,2.0,2.0,5,0.0,0.0
3505,1,0.0,0.0,3,2.0,0.6666666666666666
3510,1,4.0,4.0,6,12.0,2.0
3515,1,1.0,1.0,2,0.0,0.0
3520,1,6.0,6.0,3,0.0,0.0
3525,3,2.0,0.6666666666666666,0,0,0
3530,2,7.0,3.5,1,0.0,0.0
3535,0,0.0,0,2,0.0,0.0
3540,0,0.0,0,0,0,0
3545,2,2.0,1.0,1,0.0,0.0
3550,0,0.0,0,2,3.0,1.5
3555,0,0.0,0,4,13.0,3.25
3560,0,0.0,0,2,14.0,7.0
3565,1,0.0,0.0,8,26.0,3.25
3570,0,0.0,0,5,5.0,1.0
3575,2,3.0,1.5,4,10.0,2.5
3580,0,0.0,0,2,0.0,0.0
3585,1,0.0,0.0,1,0.0,0.0
3590,1,4.0,4.0,2,0.0,0.0
3595,0,0.0,0,5,8.0,1.6
3600,0,0.0,0,0,0,0
