step,vehicle_total_stopped,vehicle_total_waiting_time,vehicle_average_waiting_time,pedestrian_total_stopped,pedestrian_total_waiting_time,pedestrian_average_waiting_time
1780,3,8.0,2.6666666666666665,21,1608.0,76.57142857142857
1785,2,6.0,3.0,22,1697.0,77.13636363636364
1790,1,5.0,5.0,19,1384.0,72.84210526315789
1795,0,0.0,0,21,1469.0,69.95238095238095
1800,3,12.0,4.0,20,1562.0,78.1
1805,3,11.0,3.6666666666666665,15,1158.0,77.2
1810,2,21.0,10.5,21,1228.0,58.476190476190474
1815,1,20.0,20.0,15,1297.0,86.46666666666667
1820,0,0.0,0,12,1300.0,108.33333333333333
1825,2,4.0,2.0,16,1360.0,85.0
1830,3,15.0,5.0,15,1427.0,95.13333333333334
1835,2,19.0,9.5,11,1026.0,93.27272727272727
1840,1,10.0,10.0,15,1077.0,71.8
1845,0,0.0,0,4,52.0,13.0
1850,1,3.0,3.0,12,73.0,6.083333333333333
1855,3,7.0,2.3333333333333335,12,101.0,8.416666666666666
1860,0,0.0,0,12,147.0,12.25
1865,1,2.0,2.0,14,207.0,14.785714285714286
1870,1,5.0,5.0,13,268.0,20.615384615384617
1875,1,10.0,10.0,15,334.0,22.266666666666666
1880,1,15.0,15.0,17,405.0,23.823529411764707
1885,2,3.0,1.5,13,339.0,26.076923076923077
1890,0,0.0,0,15,399.0,26.6
1895,0,0.0,0,14,465.0,33.214285714285715
1900,1,4.0,4.0,15,497.0,33.13333333333333
1905,3,12.0,4.0,17,569.0,33.470588235294116
1910,1,5.0,5.0,17,647.0,38.05882352941177
1915,3,12.0,4.0,19,728.0,38.31578947368421
1920,2,21.0,10.5,14,509.0,36.357142857142854
1925,1,0.0,0.0,21,570.0,27.142857142857142
1930,0,0.0,0,16,636.0,39.75
1935,0,0.0,0,15,696.0,46.4
1940,2,4.0,2.0,15,771.0,51.4
1945,4,17.0,4.25,13,656.0,50.46153846153846
1950,1,9.0,9.0,12,576.0,48.0
1955,2,16.0,8.0,16,631.0,39.4375
1960,2,7.0,3.5,14,664.0,47.42857142857143
1965,1,0.0,0.0,15,731.0,48.733333333333334
1970,1,2.0,2.0,14,801.0,57.214285714285715
1975,3,11.0,3.6666666666666665,15,871.0,58.06666666666667
1980,2,16.0,8.0,15,945.0,63.0
1985,1,0.0,0.0,17,1021.0,60.05882352941177
1990,2,8.0,4.0,17,1101.0,64.76470588235294
1995,0,0.0,0,18,1186.0,65.88888888888889
2000,0,0.0,0,18,1263.0,70.16666666666667
2005,1,0.0,0.0,21,1350.0,64.28571428571429
2010,2,8.0,4.0,20,1441.0,72.05
2015,1,10.0,10.0,22,1536.0,69.81818181818181
2020,0,0.0,0,22,1632.0,74.18181818181819
2025,1,0.0,0.0,21,1732.0,82.47619047619048
2030,1,5.0,5.0,23,1838.0,79.91304347826087
2035,0,0.0,0,16,990.0,61.875
2040,2,4.0,2.0,24,1072.0,44.666666666666664
2045,1,0.0,0.0,23,1160.0,50.43478260869565
2050,4,10.0,2.5,24,1263.0,52.625
2055,2,3.0,1.5,24,1358.0,56.583333333333336
2060,1,6.0,6.0,19,891.0,46.89473684210526
2065,1,0.0,0.0,23,981.0,42.65217391304348
2070,1,1.0,1.0,19,1073.0,56.473684210526315
2075,2,10.0,5.0,22,1169.0,53.13636363636363
2080,2,13.0,6.5,17,809.0,47.588235294117645
2085,4,21.0,5.25,12,253.0,21.083333333333332
2090,2,4.0,2.0,11,1.0,0.09090909090909091
2095,2,3.0,1.5,7,1.0,0.14285714285714285
2100,1,6.0,6.0,4,6.0,1.5
2105,4,20.0,5.0,2,11.0,5.5
2110,3,24.0,8.0,4,16.0,4.0
2115,1,1.0,1.0,3,6.0,2.0
2120,3,10.0,3.3333333333333335,6,17.0,2.8333333333333335
2125,2,5.0,2.5,4,18.0,4.5
2130,4,21.0,5.25,5,33.0,6.6
2135,1,15.0,15.0,1,0.0,0.0
2140,2,21.0,10.5,3,0.0,0.0
2145,3,27.0,9.0,3,0.0,0.0
2150,1,3.0,3.0,4,2.0,0.5
2155,3,7.0,2.3333333333333335,7,15.0,2.142857142857143
2160,2,9.0,4.5,12,43.0,3.5833333333333335
2165,1,0.0,0.0,14,88.0,6.285714285714286
2170,0,0.0,0,14,126.0,9.0
2175,1,2.0,2.0,15,111.0,7.4
2180,0,0.0,0,13,163.0,12.538461538461538
2185,3,8.0,2.6666666666666665,14,218.0,15.571428571428571
2190,1,8.0,8.0,15,282.0,18.8
2195,2,17.0,8.5,16,353.0,22.0625
2200,3,30.0,10.0,15,428.0,28.533333333333335
2205,6,50.0,8.333333333333334,16,503.0,31.4375
2210,2,29.0,14.5,9,355.0,39.44444444444444
2215,2,8.0,4.0,16,400.0,25.0
2220,2,18.0,9.0,11,450.0,40.90909090909091
2225,1,0.0,0.0,4,100.0,25.0
2230,0,0.0,0,10,121.0,12.1
2235,0,0.0,0,6,147.0,24.5
2240,0,0.0,0,6,177.0,29.5
2245,2,1.0,0.5,8,209.0,26.125
2250,2,9.0,4.5,8,248.0,31.0
2255,0,0.0,0,10,289.0,28.9
2260,0,0.0,0,11,336.0,30.545454545454547
2265,2,1.0,0.5,14,389.0,27.785714285714285
2270,1,5.0,5.0,15,337.0,22.466666666666665
2275,1,3.0,3.0,13,358.0,27.53846153846154
2280,1,8.0,8.0,14,418.0,29.857142857142858
2285,1,0.0,0.0,14,482.0,34.42857142857143
2290,0,0.0,0,16,550.0,34.375
2295,0,0.0,0,19,633.0,33.31578947368421
2300,1,5.0,5.0,21,720.0,34.285714285714285
2305,3,6.0,2.0,23,815.0,35.43478260869565
2310,0,0.0,0,17,712.0,41.88235294117647
2315,2,8.0,4.0,20,797.0,39.85
2320,1,10.0,10.0,17,882.0,51.88235294117647
2325,2,3.0,1.5,17,967.0,56.88235294117647
2330,2,13.0,6.5,18,1052.0,58.44444444444444
2335,1,13.0,13.0,22,1144.0,52.0
2340,2,22.0,11.0,21,1244.0,59.23809523809524
2345,1,0.0,0.0,15,948.0,63.2
2350,0,0.0,0,16,686.0,42.875
2355,1,1.0,1.0,20,741.0,37.05
2360,2,2.0,1.0,11,431.0,39.18181818181818
2365,5,16.0,3.2,11,443.0,40.27272727272727
2370,2,4.0,2.0,9,471.0,52.333333333333336
2375,4,19.0,4.75,9,506.0,56.22222222222222
2380,4,33.0,8.25,10,545.0,54.5
2385,6,28.0,4.666666666666667,10,592.0,59.2
2390,3,15.0,5.0,11,643.0,58.45454545454545
2395,2,15.0,7.5,12,696.0,58.0
2400,1,2.0,2.0,8,690.0,86.25
2405,3,11.0,3.6666666666666665,11,730.0,66.36363636363636
2410,1,1.0,1.0,10,772.0,77.2
2415,2,8.0,4.0,11,822.0,74.72727272727273
2420,1,7.0,7.0,9,843.0,93.66666666666667
2425,1,0.0,0.0,15,889.0,59.266666666666666
2430,2,3.0,1.5,14,947.0,67.64285714285714
2435,0,0.0,0,22,1012.0,46.0
2440,1,5.0,5.0,23,1106.0,48.08695652173913
2445,3,10.0,3.3333333333333335,27,1214.0,44.96296296296296
2450,2,7.0,3.5,24,1261.0,52.541666666666664
2455,1,6.0,6.0,24,1336.0,55.666666666666664
2460,2,12.0,6.0,26,1449.0,55.73076923076923
2465,4,13.0,3.25,16,1388.0,86.75
2470,2,9.0,4.5,24,1468.0,61.166666666666664
2475,2,7.0,3.5,20,1550.0,77.5
2480,0,0.0,0,20,1632.0,81.6
2485,1,0.0,0.0,21,1732.0,82.47619047619048
2490,0,0.0,0,22,1833.0,83.31818181818181
2495,1,4.0,4.0,25,1942.0,77.68
2500,2,12.0,6.0,26,2062.0,79.3076923076923
2505,3,22.0,7.333333333333333,26,2187.0,84.11538461538461
2510,0,0.0,0,27,2318.0,85.85185185185185
2515,1,2.0,2.0,28,2450.0,87.5
2520,0,0.0,0,29,2549.0,87.89655172413794
2525,3,4.0,1.3333333333333333,30,2686.0,89.53333333333333
2530,4,21.0,5.25,24,2413.0,100.54166666666667
2535,0,0.0,0,27,1921.0,71.14814814814815
2540,0,0.0,0,19,1639.0,86.26315789473684
2545,1,0.0,0.0,25,1723.0,68.92
2550,1,1.0,1.0,17,1688.0,99.29411764705883
2555,2,9.0,4.5,20,1773.0,88.65
2560,2,13.0,6.5,18,1859.0,103.27777777777777
2565,4,28.0,7.0,19,1949.0,102.57894736842105
2570,2,12.0,6.0,19,2044.0,107.57894736842105
2575,2,4.0,2.0,19,2129.0,112.05263157894737
2580,2,14.0,7.0,21,2221.0,105.76190476190476
2585,1,0.0,0.0,21,2319.0,110.42857142857143
2590,0,0.0,0,20,2419.0,120.95
2595,0,0.0,0,21,2522.0,120.0952380952381
2600,0,0.0,0,24,2630.0,109.58333333333333
2605,2,3.0,1.5,25,2746.0,109.84
2610,1,2.0,2.0,21,2116.0,100.76190476190476
2615,1,1.0,1.0,25,2216.0,88.64
2620,2,10.0,5.0,22,2316.0,105.27272727272727
2625,1,0.0,0.0,13,615.0,47.30769230769231
2630,1,1.0,1.0,18,452.0,25.11111111111111
2635,1,6.0,6.0,12,491.0,40.916666666666664
2640,1,11.0,11.0,14,545.0,38.92857142857143
2645,3,4.0,1.3333333333333333,15,606.0,40.4
