step,vehicle_total_stopped,vehicle_total_waiting_time,vehicle_average_waiting_time,pedestrian_total_stopped,pedestrian_total_waiting_time,pedestrian_average_waiting_time
3475,0,0.0,0,4,3.0,0.75
3480,2,7.0,3.5,5,6.0,1.2
3485,1,0.0,0.0,2,0.0,0.0
3490,0,0.0,0,2,0.0,0.0
3495,0,0.0,0,3,0.0,0.0
3500,1,5.0,5.0,2,5.0,2.5
3505,3,11.0,3.6666666666666665,1,0.0,0.0
3510,2,3.0,1.5,4,0.0,0.0
3515,2,9.0,4.5,3,0.0,0.0
3520,1,5.0,5.0,2,4.0,2.0
3525,3,2.0,0.6666666666666666,1,0.0,0.0
3530,2,7.0,3.5,3,1.0,0.3333333333333333
3535,1,6.0,6.0,3,1.0,0.3333333333333333
3540,0,0.0,0,2,6.0,3.0
3545,1,0.0,0.0,3,1.0,0.3333333333333333
3550,1,1.0,1.0,3,0.0,0.0
3555,2,3.0,1.5,3,5.0,1.6666666666666667
3560,2,9.0,4.5,2,0.0,0.0
3565,2,3.0,1.5,3,0.0,0.0
3570,0,0.0,0,1,4.0,4.0
3575,1,5.0,5.0,5,10.0,2.0
3580,0,0.0,0,3,5.0,1.6666666666666667
3585,2,3.0,1.5,2,0.0,0.0
3590,1,1.0,1.0,4,0.0,0.0
3595,0,0.0,0,3,5.0,1.6666666666666667
3600,0,0.0,0,0,0,0
